StartDate;StartTime;StartStation;StartStationId;EndDate;EndTime;EndStation;EndStationId;Duration
01/07/16;6:00:03;Stensgata;42;01/07/16;6:10:09;Nylandsveien;28;10,1
01/07/16;6:00:04;Elisenberg;97;01/07/16;6:09:21;Bankplassen;154;9,3
01/07/16;6:00:15;Tøyen skole;81;01/07/16;6:13:42;Bankplassen;154;13,4
01/07/16;6:00:19;Ila;118;01/07/16;6:09:08;Aker Brygge ;75;8,8
01/07/16;6:00:24;St. Hanshaugen;44;01/07/16;6:07:44;Majorstuveien;61;7,3
01/07/16;6:00:24;Dælenenggata ;144;01/07/16;7:22:51;Ruseløkka;48;82,4
01/07/16;6:00:36;Tannlegehøyskolen;91;01/07/16;6:09:00;Sjøsiden øst;137;8,4
01/07/16;6:00:47;Nylandsveien;28;01/07/16;6:05:23;Sofienbergparken sør;33;4,6
01/07/16;6:01:15;Pilestredet;64;01/07/16;6:05:04;Saga Kino;105;3,8
01/07/16;6:01:47;Carl Berners plass nord;122;01/07/16;6:17:42;Majorstuen;50;15,9
01/07/16;6:01:53;Jakob kirke;142;01/07/16;6:07:33;Paléhaven;126;5,7
01/07/16;6:02:13;Marienlyst;46;01/07/16;6:07:58;Studentparlamentet;92;5,8
01/07/16;6:03:00;St. Hanshaugen;44;01/07/16;6:25:24;Hasle;115;22,4
01/07/16;6:03:07;Hallénparken;27;01/07/16;6:09:50;Jakob kirke;142;6,7
01/07/16;6:03:10;Munkegata trikkestopp;80;01/07/16;6:13:39;Studenterlunden;141;10,5
01/07/16;6:03:23;Uranienborgparken;54;01/07/16;6:13:44;Sjøsiden øst;137;10,3
01/07/16;6:03:32;Fredensborg;45;01/07/16;6:07:50;Oslo City;71;4,3
01/07/16;6:03:36;Frogner Stadion;94;01/07/16;6:16:03;Nylandsveien;28;12,4
01/07/16;6:04:08;Sukkerbiten;163;01/07/16;6:16:43;Pilestredet Park Studenthus;89;12,6
01/07/16;6:04:16;Sommerfrydhagen;26;01/07/16;6:08:24;Vaterlandsparken;68;4,1
01/07/16;6:05:27;Helga Helgesens plass;59;01/07/16;6:08:03;Vaterlandsparken;68;2,6
01/07/16;6:05:43;Munkegata trikkestopp;80;01/07/16;6:18:04;Tinghuset ;69;12,3
01/07/16;6:05:46;Tjuvholmen;101;01/07/16;6:18:37;Majorstuveien;61;12,8
01/07/16;6:06:06;Saga Kino;105;01/07/16;6:12:08;HiOA;123;6
01/07/16;6:06:26;Fram-gården;99;01/07/16;6:11:03;Rådhusgata;70;4,6
01/07/16;6:06:34;Birkelunden;34;01/07/16;6:11:09;Skippergata;121;4,6
01/07/16;6:07:22;Alexander Kiellands Plass;58;01/07/16;6:12:32;Oslo City;71;5,2
01/07/16;6:07:41;St. Hanshaugen park nord;88;01/07/16;6:16:48;Majorstuen;50;9,1
01/07/16;6:08:18;Elisenberg;97;01/07/16;6:10:39;Fram-gården;99;2,3
01/07/16;6:08:31;Schous plass;146;01/07/16;6:17:55;Saga Kino;105;9,4
01/07/16;6:09:02;Carl Berners plass nord;122;01/07/16;6:19:05;Storgata;41;10,1
01/07/16;6:09:56;Vaterlandsparken;68;01/07/16;6:13:54;Sjøsiden øst;137;4
01/07/16;6:10:14;Hammersborg Torg;43;01/07/16;6:13:58;Sjøsiden øst;137;3,7
01/07/16;6:10:30;Parkveien;100;01/07/16;6:17:35;Saga Kino;105;7,1
01/07/16;6:10:41;Torggata;116;01/07/16;6:17:35;Birkelunden;34;6,9
01/07/16;6:11:05;Parkveien;100;01/07/16;6:17:28;Saga Kino;105;6,4
01/07/16;6:11:47;Bankplassen;154;01/07/16;6:15:27;Sjøsiden øst;137;3,7
01/07/16;6:13:11;Skippergata;121;01/07/16;6:15:56;Sjøsiden øst;137;2,8
01/07/16;6:13:15;Tjuvholmen;101;01/07/16;6:23:55;Vår Frelsers gravlund sør;87;10,7
01/07/16;6:13:17;Parkveien;100;01/07/16;6:17:04;Tinghuset ;69;3,8
01/07/16;6:13:21;Schous plass;74;01/07/16;6:17:21;Sentrum Scene ;36;4
01/07/16;6:13:33;Sjøsiden øst;137;01/07/16;6:16:53;Bankplassen;154;3,3
01/07/16;6:14:20;Botanisk Hage sør;29;01/07/16;6:23:03;Pilestredet;64;8,7
01/07/16;6:15:36;Majorstuveien;61;01/07/16;6:28:05;Torggata;116;12,5
01/07/16;6:16:09;Fagerheimgata ;143;01/07/16;6:24:50;Oslo City;71;8,7
